hilane,	हिलाने,	हिलने
ishara,	इशारा,	इशारा
khinchakar,	खिंचाकार,	खिंचकर
raghupati,	रघुपति,	रघुपति
ladte,	लड़ते,	लड़ते
claris,	क्लारिस,	क्लेरिस
falibhoot,	फलीभूट,	फलीभूत
asharaphi,	अशरफी,	अशरफी
agsta,	अगस्ता,	अगस्ता
halchal,	हल्चाल,	हालचाल
chhaviyan,	छावियां,	छवियाँ
audhyogikaran,	औध्योगिकरण,	औद्योगिकरण
chhuree,	छुरी,	छुरी
uplabdhi,	उपलब्धि,	उपलब्धी
evening,	एविनिंग,	ईवनिंग
dhari,	धारी,	धारी
melaani,	मेलानी,	मेलानी
aparivartansheel,	अपरिवर्तनशील,	अपरिवर्तनशील
dhairyavaan,	धैर्यवान,	धैर्यवान
udaanaa,	उड़ना,	उड़ाना
punargathan,	पुनर्गठण,	पुनर्गठन
vaadak,	वादक,	वादक
chowk,	चौक,	चौक
riya,	रिया,	रिया
january,	जननुर्य,	जनवरी
lega,	लेगा,	लेगा
chillane,	चिल्लाने,	चिल्लाने
cavity,	कैविटी,	कैविटी
sanshyon,	संश्यों,	संशयों
rugnata,	रूग्णता,	रुग्णता
kamatar,	कमाटर,	कमतर
failaiye,	फैलाइए,	फैलाइए
navvadhoo,	नववाधु,	नववधू
aabantit,	आबांतित,	आबंटित
tir,	तिर,	तीर
programs,	प्रोग्रामस,	प्रोग्रामर्स
vidhivat,	विधिवत,	विधिवत
manzila,	मंजीला,	मंजिला
emailon,	एमेलों,	ईमेलों
prastavon,	प्रस्तवों,	प्रस्तावों
nishpaap,	निष्पाप,	निष्पाप
bhaunhon,	भौनहों,	भौंहों
quebec,	क्वेब,	क्यूबेक
raatrichar,	रात्रिचार,	रात्रिचर
upadravi,	उपद्रवी,	उपद्रवी
bahav,	बहव,	बहाव
haalchaal,	हालचाल,	हालचाल
gandh,	गंध,	गंध
spear,	स्पेयर,	स्पीयर
trap,	ट्रेप,	ट्रैप
madhupur,	मधुपुर,	मधुपुर
patkathayen,	पटकथाएं,	पटकथाएं
prapaaton,	प्रपातों,	प्रपातों
mubarkpur,	मुबर्कपुर,	मुबारकपुर
alankar,	अलंकार,	अलंकार
prakkathan,	प्रककथण,	प्राक्कथन
sakar,	साकर,	सॉकर
nitiyon,	नीतियों,	नीतियों
wicket,	विकेट,	विकेट
saptapadi,	सप्तपदी,	सप्तपदी
nineteez,	निनेतीज,	नाइनटीज
gujare,	गुजरे,	गुजारे
vivekahin,	विवेकाहीन,	विवेकहीन
tuglakabad,	तुलकाकाबाद,	तुगलकाबाद
hindon,	हिंदों,	हिंडन
prahsan,	प्रहसन,	प्रहसन
wahikayan,	वाहिकाएं,	वाहिकाएं
geneva,	जेनेवा,	जिनीवा
bilai,	बिलाई,	बिलाई
nano,	नानो,	नैनो
nori,	नोरी,	नोरी
vaitravati,	वैत्रवती,	वैत्रवती
eyarve,	एयरवे,	एयरवे
dhuriya,	धूरिया,	धुरिया
shao,	शाओ,	शाओ
mohana,	मोहना,	मोहाना
jeewan,	जीवन,	जीवन
jeetod,	जीतोड़,	जीतोड़
gandki,	गंदकी,	गंडकी
brahmleen,	ब्राह्मलीन,	ब्रह्मलीन
raith,	रैठ,	रैथ
rudolph,	रूडोल्फ,	रुडोल्फ
uthane,	उठाने,	उठने
lahlahaati,	लहलाहटी,	लहलहाती
rabha,	रभा,	राभा
yarushalem,	यरुशलेम,	यरूशलेम
bandej,	बंदेज,	बैंडेज
landara,	लंदारा,	लंगड़ा
lbdh,	ल्बद,	लब्ध
kavvaliyon,	कववालियों,	कव्वालियों
varddhaman,	वर्दधामन,	वर्द्धमान
ganthe,	गंथे,	गांठे
ccd,	सीसीडी,	सीसीडी
alive,	एलिव,	अलाइव
kanishtika,	कनिष्टिका,	कनिष्ठिका
jayalalithaa,	जयलाली,	जयललिता
kanishthikaa,	कनिष्ठिका,	कनिष्ठिका
stanadhari,	स्तनधारी,	स्तनधारी
kankar,	कंकर,	कंकर
suneeti,	सुनीती,	सुनीति
pr,	पीआर,	पीआर
sujan,	सूजन,	सुजेन
taul,	ताल,	तौल
uplabdhiyon,	उपलबिधियों,	उपलब्धियों
shin,	शीन,	क्षीण
sayan,	सायन,	सायं
humlavar,	हमलावर,	हमलावर
naksalavaad,	नक्सलवाद,	नक्सलवाद
parikalpit,	परिकल्पित,	परिकल्पित
asamaany,	असमान्य,	असमान्य
lapetane,	लपेटने,	लपेटने
baramad,	बरामाद,	बरामद
ushma,	उषमा,	ऊष्मा
kide,	किडे,	कीड़े
dramen,	ड्रेमेन,	ड्रामे
umesh,	उम्मेष,	उमेश
goyal,	गोयल,	गोयल
shakhayen,	शखाएं,	शाखाएं
chitthi,	चित्ठी,	चिट्ठी
bhupsingh,	भूपसिंह,	भूपसिंह
jetha,	जेठा,	जेठा
paathyakram,	पाठ्यक्रम,	पाठ्यक्रम
khatakati,	खटकती,	खटकती
toka,	टोका,	टोका
ananti,	अनांति,	अनंती
dadari,	दादारी,	दादरी
udanen,	उड़नें,	उड़ानें
nna,	नना,	नना
mejban,	मेजबन,	मेज़बान
sthitiyon,	स्थितियों,	स्थितियों
olavrishti,	ओलावृष्टि,	ओलावृष्टि
changul,	चंगुल,	चंगुल
machano,	मचानो,	मचानों
amargad,	अमरगढ़,	अमरगढ़
vivekheen,	विवेखीन,	विवेकहीन
rupesh,	रूपेश,	रुपेश
avishvasniya,	अविश्वस्नीय,	अविश्वसनीय
yarooshaleim,	यरूशलीम,	यरूशलेम
achhi,	अछी,	अच्छी
panchaang,	पंचांग,	पंचांग
torch,	टॉर्च,	टार्च
narmi,	नर्मी,	नरमी
alochak,	आलोचक,	आलोचक
kakkad,	कक्कड़,	कक्कड़
farth,	फर्थ,	फर्थ
bhusvami,	भूस्वमी,	भूस्वामी
adad,	अदाद,	अदद
parosane,	परोसने,	परोसने
offshore,	ऑफ्सोर,	ऑफशोर
sarkaron,	सरकारों,	सरकारों
grandhiyon,	ग्रांधियों,	ग्रंथियों
rampur,	रामपुर,	रामपुर
birth,	बीर्थ,	बर्थ
ryan,	रयान,	रयान
map,	माप,	माप
ghuman,	घूमान,	घुमाण
chhupakar,	छुपकर,	छुपकर
adhyaynrat,	अध्ययनरात,	अध्ययनरत
kamtar,	कामतर,	कमतर
pakaen,	पकाएं,	पकाएं
ubaal,	उबाल,	उबाल
majin,	माजीन,	माजिन
asian,	एशियान,	एशियन
jamaanaa,	जमाना,	ज़माना
rhamat,	रहमत,	रहमत
ashrvatath,	अश्वर्थत,	अश्वत्थ
muller,	म्यूलर,	मूलर
danga,	डंगा,	दंगा
gujarna,	गुजरना,	गुजारना
regal,	रेगल,	रीगल
dwivedi,	द्विवेदी,	द्विवेदी
vytit,	व्यतित,	व्यतीत
bangbandhu,	बंगबंधु,	बंगबंधु
avaru,	अवरू,	अवरु
daddy,	देडी,	डैडी
weronika,	वेरोनिका,	वेरोनिका
chhavi,	छावी,	छवी
mehram,	मेहराम,	मेहराम
fefda,	फेफड़ा,	फेफड़ा
survin,	सुर्विन,	सुरवीन
kambalon,	कांबलों,	कंबलों
khaskar,	खस्कर,	ख़ासकर
dungerpur,	दंगरपुर,	डूंगरपुर
virodhabhasi,	विरोधाभसी,	विरोधाभासी
parshadon,	पार्शदों,	पार्षदों
sahooliyata,	सहूलियता,	सहूलियत
pizza,	पिज़ज़ा,	पिज्जा
ipc,	आईपीसी,	आईपीसी
salaahkar,	सलाहकर,	सलाहकार
hounga,	हौंगा,	होऊंगा
navate,	नवते,	नवाते
ladaiyon,	लड़ायों,	लड़ाईयों
samadhiyon,	समाधियों,	समाधियों
safety,	सफफेटी,	सेफ्टी
sealed,	सीलेड,	सील्ड
awaru,	अवरू,	अवरु
gin,	गिन,	जिन
baku,	बाकू,	बाकू
daakhile,	दाखीले,	दाखिले
hathiya,	हथिया,	हथिया
fatane,	फटने,	फटने
advivas,	अदविवास,	अधिवास
chehon,	चेहों,	छहों
farmion,	फर्मियों,	फर्मिऑन
chandu,	चंदु,	चंदू
swiftlet,	स्वीफलेट,	स्विफ्टलेट
dabhoi,	दभोई,	डभोई
shawn,	शान,	शॉन
panter,	पंटर,	पंटर
ilayachi,	इलायची,	इलाइची
aryon,	आर्यों,	आर्यों
danptiyon,	दंपतियों,	दंपतियों
dhokebaz,	धोखेबाज,	धोखेबाज
thumari,	थूमारी,	ठुमरी
charton,	चर्तों,	चार्टों
prardashan,	प्रदर्शन,	प्रर्दशन
iris,	आइरिस,	आईरिस
raak,	राक,	राक
soya,	सोया,	सोया
satluj,	सत्लुज,	सतलुज
mayorkaa,	मयोरका,	मयोर्का
maidi,	मैदी,	मैडी
zamana,	जमाना,	ज़माना
swipe,	स्वाइप,	स्वैप
bodara,	बोदारा,	बोदरा
khanikarm,	खनीकर्म,	खनिकर्म
lahsun,	लहसून,	लहसुन
aryama,	आर्यमा,	अर्यमा
neta,	नेता,	नेता
kabra,	कबरा,	कब्र
visheshaadhikaar,	विशेषाधिकार,	विशेषाधिकार
godara,	गोदरा,	गोदारा
chauka,	चौका,	चौका
madhuara,	मधुआरा,	मढ़ौरा
mold,	मोल्ड,	मोल्ड
mahalon,	महालों,	महलों
fode,	फोड़े,	फोड़े
paramparikata,	परंपरिकता,	पारंपरिकता
asvabhavik,	अस्वाभाविक,	अस्वभाविक
umanath,	उमानाथ,	उमानाथ
khaini,	खैनी,	खैनी
kajoo,	काजू,	काजू
dharmnath,	धर्मनाथ,	धर्मनाथ
farhin,	फरहीन,	फरहीन
jaanam,	जानम,	जानम
rabin,	रबीन,	राबिन
prativad,	प्रतिवाद,	प्रतिवाद
niptaara,	निपटारा,	निपटारा
aarya,	आर्य,	आर्य
angrzi,	अंग्रजी,	अंग्रज़ी
royals,	रोयल्स,	रॉयल्स
vartamaan,	वर्तमान,	वर्तमान
makrani,	मकरानी,	मकरानी
agavai,	अगवाई,	अगवाई
tonga,	टोंगा,	टोंगा
janhaani,	जनहानी,	जनहानि
ladate,	लड़ते,	लड़ते
tantro,	तंत्रों,	तंत्रों
ginte,	गिनते,	गिनते
bhulon,	भूलों,	भूलों
saparivaar,	सपरिवार,	सपरिवार
rukte,	रुकते,	रुकते
guan,	गुआन,	गुआन
chhink,	छींक,	छींक
cpm,	सीपीएम,	सीपीएम
dinaank,	दिनांक,	दिनांक
najraane,	नजराने,	नजराने
nicky,	निकी,	निकी
ekaeyon,	इकाइयों,	इकाईयों
jasmit,	जसमीत,	जसमीत
dikhaiye,	दिखाइए,	दिखाइये
fikra,	फिक्र,	फिक्र
francisco,	फ्रेंसिस्को,	फ्रांसिस्को
rupi,	रूपी,	रूपी
agashe,	अग्शे,	आगाशे
mithaai,	मिठाई,	मिठाई
wastinghouse,	वास्टिंघाइज,	वेस्टिंगहाउस
tanish,	तानिश,	टैनिस
awaazon,	आवाजों,	आवाज़ों
chaudahavan,	चौदहवान,	चौदहवां
slash,	स्लाश,	स्लैश
amarpal,	अमापाल,	अमरपाल
farm,	फर्म,	फार्म
tenin,	टेनिन,	टैनिन
gatishil,	गतिशील,	गतिशील
devapur,	देवापुर,	देवापुर
poshit,	पोषित,	पोषित
aarya,	आर्य,	आर्यो
dazy,	दज्य,	डेजी
devi,	देवी,	डेवी
batlae,	बतलाए,	बतलाए
naseem,	नसीम,	नसीम
kamjor,	कमजोर,	कमज़ोर
rasaayanika,	रसायनिका,	रसायनिक
masaaledaar,	मसालेदार,	मसालेदार
shriram,	श्रीरम,	श्रीराम
durghtna,	दुर्घटना,	दुर्घटना
karchhana,	कर्चहाना,	करछना
edan,	ईडन,	एडेन
jhil,	झील,	झील
modern,	मॉडर्न,	मॉडर्न
shaniwar,	शानीवार,	शनिवार
jaydayal,	जयदायल,	जयदयाल
chhabi,	छबी,	छबि
ghot,	घोट,	घोट
transistor,	ट्रेंसिस्टर,	ट्रांजिस्टर
dreijer,	ड्रेजर,	ड्रेजर
jaatiyon,	जातियों,	जातियों
sanyogvash,	संयोगवश,	संयोगवश
vritton,	वृत्तों,	वृत्तों
biji,	बीजी,	बिजी
cateline,	कैटललाइन,	कैटलिन
kapdi,	कपड़ी,	कापड़ी
rate,	राते,	रेट
nazarandaz,	नजरअंदाज,	नजरंदाज
test,	टेस्ट,	टेस्ट
nitrous,	नाइट्रूस,	नाइट्रस
chanval,	चंवाल,	चांवल
dwaadas,	द्वादस,	द्वादश
tharti,	थर्ती,	थर्टी
tribunal,	त्रिबुनल,	ट्रिब्युनल
advait,	अद्वैत,	अद्वैत
vichaarakon,	विचारकों,	विचारकों
megapixal,	मैगपीकल,	मेगापिक्सल
immune,	इम्यूने,	इम्युन
chidhate,	चिढ़ते,	चिढ़ते
pranit,	प्रणित,	प्रनीत
raadhe,	राधे,	राधे
padegaa,	पदेगा,	पड़ेगा
simatataa,	सीमतता,	सिमटता
el,	एल,	ऐल
self,	सेल्फ,	सेल्फ
janhani,	जनहानी,	जनहानि
shrotaon,	श्रोताओं,	श्रोताओं
manjila,	मंजीला,	मंजिला
avarodhak,	अवरोधक,	अवरोधक
triya,	त्रिया,	त्रिया
parwaa,	परवा,	परवा
suljayi,	सुलजाई,	सुलझाई
raktabh,	रक्तभ,	रक्ताभ
augusta,	अगूसता,	अगस्ता
dolane,	डोलने,	डोलने
sahakalaakar,	सहकालकर,	सहकलाकार
kamau,	कमा,	कमाऊ
farms,	फर्म्स,	फार्म्स
rangkata,	रंगकता,	रंजकता
bekaaboo,	बेकाबू,	बेकाबू
vigyanon,	विज्ञानों,	विज्ञानों
rasayanika,	रसायनिका,	रसायनिक
mhavidya,	महाविद्य,	महाविद्या
shakhayan,	शखायां,	शाखाएं
jagriti,	जाग्रिति,	जागृति
prakriya,	प्रकृय,	प्रक्रिया
wade,	वादे,	वेड
khayen,	खाएं,	खाएं
thane,	थाने,	थाणे
pratibhutiyan,	प्रतिभूतियां,	प्रतिभूतियां
naam,	नाम,	नाम
sacchidanand,	सच्चिदनंद,	सच्चिदानंद
bhukhi,	भूखी,	भूखी
ester,	एस्टर,	एस्टर
brajesh,	ब्रजेश,	ब्रजेश
polish,	पॉलिश,	पोलिश
dardraa,	दर्द्रा,	दरदरा
antah,	अंता,	अंतः
tahkhana,	तहकाना,	तहखाना
aawazon,	आवाजों,	आवाज़ों
ghumakkaron,	घुमकरों,	घुमक्कड़ों
bisva,	बिस्वा,	बिस्वा
kalpanaon,	कल्पनाओं,	कल्पनाओं
agr,	एग्र,	अग्र
uthne,	उठने,	उठने
prashasanik,	प्रशासनिक,	प्रशासनिक
chhai,	छाई,	छाई
tyred,	टायर्ड,	टायर्ड
karanj,	करांज,	करंज
bharne,	भरने,	भरने
pailoton,	पैलोतों,	पायलटों
vaimanya,	वैमान्य,	वैमनस्य
aalochakon,	आलोचकों,	आलोचकों
rangate,	रंगते,	रंगते
dharmraj,	धर्मराज,	धर्मराज
chhure,	छुरे,	छुरे
kanaal,	कनाल,	कनाल
jaiban,	जैबान,	जयबाण
agyaat,	अज्ञात,	अज्ञात
roopi,	रूपी,	रूपी
anton,	एंटन,	एंटोन
kahlaya,	कहलाया,	कहलाया
ghodi,	घोडी,	घोड़ी
diaries,	डायरिज,	डायरीज
priyamani,	प्रियमानी,	प्रियामणि
chaukiyan,	चौकियां,	चौकियां
chabate,	चबते,	चबाते
theni,	थेनी,	थेनी
namo,	नमो,	नामो
sakara,	साकारा,	सकरा
halchaal,	हल्चाल,	हालचाल
vaigyanik,	वैज्ञानिक,	वैज्ञानिक
bolane,	बोलने,	बोलने
chakatte,	चकते,	चकत्ते
naamo,	नामो,	नामो
keede,	कीडे,	कीड़े
kurvi,	कुर्वी,	कर्वी
guman,	गुमान,	गुमान
routes,	राउट्स,	रूट्स
maalish,	मालिश,	मालिश
nokari,	नोकरी,	नोकरी
padamawati,	पदमावती,	पदमावती
jaylalita,	जयलालिता,	जयललिता
hijda,	हिजड़ा,	हिजड़ा
anureet,	अनुरीत,	अनुरीत
tambe,	तांबे,	तांबे
jaaunch,	जांच,	जाँच
khat,	खात,	खत
vajud,	वाजुद,	वजूद
advaitvaad,	अद्वैतवाद,	अद्वैतवाद
vajood,	वाजूद,	वजूद
santati,	संतती,	संतति
lassi,	लासी,	लस्सी
karykartaaon,	कार्यकर्ताओं,	कार्यकर्ताओं
tapuwo,	टापूवो,	टापुओं
anakon,	अनकों,	अंकों
bhoonhon,	भूनहों,	भौंहों
kanika,	कनिका,	कणिका
devnar,	देवनार,	देवनार
matsyavatar,	मत्स्यवत्र,	मत्स्यावतार
nahargadh,	नहरगढ़,	नाहरगढ
sankhyayen,	संख्याएं,	संख्याएं
tonic,	टोनिक,	टॉनिक
dali,	दली,	दली
khyber,	खिबर,	ख़ैबर
bhootal,	भूतल,	भूतल
khaen,	खाएं,	खाएं
bhuswami,	भूस्वामी,	भूस्वामी
karybhar,	कार्यभर,	कार्यभार
pied,	पीइड,	पाइड
tikamgarh,	तिकागढ़,	टीकमगढ़
chhaati,	छाती,	छाती
manjil,	मंजील,	मंजिल
shujat,	शुजत,	शुजात
dhandhaanya,	धंधान्य,	धनधान्य
chhagla,	छगला,	छागला
generat,	जनररट,	जेनरेट
yariyan,	यारियां,	यारियां
vareinye,	वरेनी,	वरेण्य
kaagaz,	काग़ज़,	कागज़
putlaa,	पुटला,	पुतला
nagaaraa,	नगारा,	नगाड़ा
shaao,	शाओ,	शाओ
bachti,	बचती,	बचती
ghongha,	घोंघा,	घोंघा
alnkaron,	अलंकारों,	अलंकारों
jubaan,	जुबान,	ज़ुबान
parishadiya,	परिशादीय,	परिषदीय
pahni,	पहनी,	पहनी
francisko,	फ्रैंसिस्को,	फ्रांसिस्को
badhati,	बढ़ती,	बढ़ाती
thikane,	ठीकने,	ठिकाने
jalvayu,	जलवायु,	जलवायु
tarafa,	तराफा,	तरफा
mooth,	मूठ,	मूठ
chadaron,	चादारों,	चादरों
media,	मेडिया,	मिडिया
ebt,	एबीटी,	एबट
maori,	मौरी,	माओरी
maisore,	मैसोरे,	मैसोर
jaatkon,	जातकों,	जातकों
raaj,	राज,	राज
nrityashaili,	नृत्यशैली,	नृत्यशैली
mum,	मू,	मम
eater,	इटर,	ईटर
putaliyaan,	पुतालियां,	पुतलियां
aliance,	एलियंस,	अलायंस
phatne,	फटने,	फटने
mhavidyan,	महाविज्ञान,	महाविज्ञान
sahrawat,	सहरावत,	सहरावत
audyogikikaran,	औद्योगिकरण,	औद्योगिकरण
wangchuk,	वंगचुक,	वांगचुक
kanyaayen,	कन्याएं,	कन्याएं
chaktte,	चकते,	चकत्ते
damoh,	दमोह,	दमोह
shavakon,	शावकों,	शावकों
pisai,	पिसाई,	पिसाई
reshey,	रेशे,	रेशे
bazaru,	बाजारू,	बाजारू
vladimir,	व्लादीमीर,	व्लादिमीर
dikhaai,	दिखाई,	दिखाई
kakkar,	कक्कर,	कक्कड़
aajmaanaa,	आजमाना,	आजमाना
amaanati,	अमानती,	अमानती
longoval,	लोंगोवल,	लोंगोवाल
samprabhu,	संप्रभु,	संप्रभु
to,	तो,	तो
vimarshon,	विमारशों,	विमर्शों
chhura,	छुरा,	छुरा
velvet,	वेल्वेट,	वेलवेट
prema,	प्रेमा,	प्रेमा
takra,	टकरा,	टकरा
bhate,	भाते,	भाते
reza,	रेजा,	रेजा
trouble,	ट्रबल,	ट्रेबल
achanbha,	आचंभा,	अचंभा
jadit,	जादित,	जड़ित
kagaj,	कागज,	कागज़
sambhrant,	संभरंत,	संभ्रांत
shatpath,	क्षपथ,	शतपथ
tikone,	टिकोने,	तिकोने
babt,	बब्त,	बाबत
agende,	एजेंडे,	एजेंडे
benvar,	बेनवार,	बेंवर
aswbhavik,	अस्वाभिक,	अस्वभाविक
parlouron,	परलौरों,	पार्लरों
jipani,	जीपानी,	जीपनी
rushikul,	ऋषिकुल,	ऋषिकुल
andrabi,	अंदराबी,	अंद्राबी
velur,	वेलूर,	वेल्लूर
emily,	एमिली,	एमिल
pakshpat,	पक्षपत,	पक्षपात
sk,	एससी,	एसके
vanon,	वनों,	वाणों
mahasingh,	महासिंह,	महासिंह
ethan,	इंठन,	ऐठन
kapdon,	कपदों,	कपड़ो
jud,	जुड,	जूड
jodta,	जोड़ता,	जोड़ता
emelon,	एमेलों,	ईमेलों
malar,	मालर,	मलार
uski,	उसकी,	उसकी
baitool,	बैटूल,	बैतूल
visheshanon,	विशेषणों,	विशेषणों
isht,	ईष्ट,	ईष्ट
darjanon,	दर्जनों,	दर्जनों
fatma,	फत्मा,	फातमा
shrimati,	श्रीमति,	श्रीमति
gadkar,	गड़कर,	गडकर
dhona,	धोना,	धोना
failkar,	फैलकर,	फैलकर
judaai,	जुडाई,	जुदाई
sanchaari,	संचारी,	संचारी
bandhti,	बांधती,	बंधती
vadak,	वादक,	वादक
artery,	आर्टरी,	आर्टरी
jorhta,	जोड़ता,	जोड़ता
queens,	क्वींस,	क्वींस
suniti,	सुनीति,	सुनीति
jaine,	जैने,	जैने
chatagaon,	चटगां,	चटगांव
tugalaki,	तुगलाकी,	तुगलकी
yojanaein,	योजनाएं,	योजनाएं
sanchalanon,	संचलनों,	संचालनों
samitiyan,	समितियां,	समितियां
badhaati,	बढ़ाती,	बढ़ाती
brigatn,	ब्रिगटन,	ब्रिगटन
pedia,	पेडिया,	पीडिया
scooteron,	स्कूटरों,	स्कूटरों
pipraa,	पिपरा,	पिपरा
gruhnagar,	गृहणगर,	गृहनगर
nanhein,	नन्हें,	नन्हें
dhale,	ढाले,	ढले
bikaneri,	बिकनरी,	बीकानेरी
satti,	सत्ती,	सत्ती
udar,	उदार,	उदर
karoor,	करूर,	करूर
adharit,	आधारित,	आधारित
sensing,	सेंसिंग,	सेंसिंग
emile,	एमिले,	एमिल
gaytri,	गायत्री,	गायत्री
aadheen,	आधीन,	आधीन
ambani,	अंबानी,	अम्बानी
neko,	नेको,	नेको
brijesh,	ब्रिजेश,	ब्रजेश
dvivedi,	द्विवेदी,	द्विवेदी
suchak,	सूचक,	सूचक
putli,	पुटली,	पुतली
janjagran,	जंजागरण,	जनजागरण
cubes,	कबबस,	क्यूब्स
bhoopsingh,	भूपसिंह,	भूपसिंह
ankit,	अंकीत,	अंकित
jalgti,	जलगती,	जलगति
sarkaren,	सरकरें,	सरकारें
gangrel,	गैंग्रेल,	गंगरेल
tired,	टायर्ड,	टायर्ड
sate,	सते,	सते
anyaay,	अन्याय,	अन्याय
labelon,	लेबलों,	लेबलों
mahavishnu,	महाविष्णु,	महाविष्णु
pathyakramon,	पाठ्यकरमों,	पाठ्यक्रमों
aesthetics,	एस्थेटिक्स,	एस्थेटिक
sujen,	सूजें,	सुजेन
usak,	उसक,	उसक
